newTime, 0.024459, absoluteTime, 0.024459, accumulator, 0.024459, discrete time, 0, input jump, 0
newTime, 0.024459, absoluteTime, 0.024459, accumulator, 0.014459, discrete time, 1, input jump, 0
newTime, 0.024459, absoluteTime, 0.024459, accumulator, 0.014459, discrete time, 1, input jump, 0
newTime, 0.024459, absoluteTime, 0.024459, accumulator, 0.004459, discrete time, 2, input jump, 0
newTime, 0.041985, absoluteTime, 0.041985, accumulator, 0.021985, discrete time, 2, input jump, 0
newTime, 0.041985, absoluteTime, 0.041985, accumulator, 0.011985, discrete time, 3, input jump, 0
newTime, 0.041985, absoluteTime, 0.041985, accumulator, 0.011985, discrete time, 3, input jump, 0
newTime, 0.041985, absoluteTime, 0.041985, accumulator, 0.001985, discrete time, 4, input jump, 0
newTime, 0.059537, absoluteTime, 0.059537, accumulator, 0.019537, discrete time, 4, input jump, 0
newTime, 0.059537, absoluteTime, 0.059537, accumulator, 0.009537, discrete time, 5, input jump, 0
newTime, 0.075173, absoluteTime, 0.075173, accumulator, 0.025173, discrete time, 5, input jump, 0
newTime, 0.075173, absoluteTime, 0.075173, accumulator, 0.015173, discrete time, 6, input jump, 0
newTime, 0.075173, absoluteTime, 0.075173, accumulator, 0.015173, discrete time, 6, input jump, 0
newTime, 0.075173, absoluteTime, 0.075173, accumulator, 0.005173, discrete time, 7, input jump, 0
newTime, 0.091845, absoluteTime, 0.091845, accumulator, 0.021845, discrete time, 7, input jump, 0
newTime, 0.091845, absoluteTime, 0.091845, accumulator, 0.011845, discrete time, 8, input jump, 0
newTime, 0.091845, absoluteTime, 0.091845, accumulator, 0.011845, discrete time, 8, input jump, 0
newTime, 0.091845, absoluteTime, 0.091845, accumulator, 0.001845, discrete time, 9, input jump, 0
newTime, 0.108530, absoluteTime, 0.108530, accumulator, 0.018530, discrete time, 9, input jump, 0
newTime, 0.108530, absoluteTime, 0.108530, accumulator, 0.008530, discrete time, 10, input jump, 0
newTime, 0.125249, absoluteTime, 0.125249, accumulator, 0.025249, discrete time, 10, input jump, 0
newTime, 0.125249, absoluteTime, 0.125249, accumulator, 0.015249, discrete time, 11, input jump, 0
newTime, 0.125249, absoluteTime, 0.125249, accumulator, 0.015249, discrete time, 11, input jump, 0
newTime, 0.125249, absoluteTime, 0.125249, accumulator, 0.005249, discrete time, 12, input jump, 0
newTime, 0.142019, absoluteTime, 0.142019, accumulator, 0.022019, discrete time, 12, input jump, 0
newTime, 0.142019, absoluteTime, 0.142019, accumulator, 0.012019, discrete time, 13, input jump, 0
newTime, 0.142019, absoluteTime, 0.142019, accumulator, 0.012019, discrete time, 13, input jump, 0
newTime, 0.142019, absoluteTime, 0.142019, accumulator, 0.002019, discrete time, 14, input jump, 0
newTime, 0.158515, absoluteTime, 0.158515, accumulator, 0.018515, discrete time, 14, input jump, 0
newTime, 0.158515, absoluteTime, 0.158515, accumulator, 0.008515, discrete time, 15, input jump, 0
newTime, 0.175221, absoluteTime, 0.175221, accumulator, 0.025221, discrete time, 15, input jump, 0
newTime, 0.175221, absoluteTime, 0.175221, accumulator, 0.015221, discrete time, 16, input jump, 0
newTime, 0.175221, absoluteTime, 0.175221, accumulator, 0.015221, discrete time, 16, input jump, 0
newTime, 0.175221, absoluteTime, 0.175221, accumulator, 0.005221, discrete time, 17, input jump, 0
newTime, 0.192026, absoluteTime, 0.192026, accumulator, 0.022026, discrete time, 17, input jump, 0
newTime, 0.192026, absoluteTime, 0.192026, accumulator, 0.012026, discrete time, 18, input jump, 0
newTime, 0.192026, absoluteTime, 0.192026, accumulator, 0.012026, discrete time, 18, input jump, 0
newTime, 0.192026, absoluteTime, 0.192026, accumulator, 0.002026, discrete time, 19, input jump, 0
newTime, 0.208670, absoluteTime, 0.208670, accumulator, 0.018670, discrete time, 19, input jump, 0
newTime, 0.208670, absoluteTime, 0.208670, accumulator, 0.008670, discrete time, 20, input jump, 0
