newTime, 0.017191, absoluteTime, 0.017191, accumulator, 0.017191, discrete time, 0, input jump, 1
newTime, 0.017191, absoluteTime, 0.017191, accumulator, 0.007191, discrete time, 1, input jump, 1
newTime, 0.038652, absoluteTime, 0.038652, accumulator, 0.028652, discrete time, 1, input jump, 0
newTime, 0.038652, absoluteTime, 0.038652, accumulator, 0.018652, discrete time, 2, input jump, 0
newTime, 0.038652, absoluteTime, 0.038652, accumulator, 0.018652, discrete time, 2, input jump, 0
newTime, 0.038652, absoluteTime, 0.038652, accumulator, 0.008652, discrete time, 3, input jump, 0
newTime, 0.041530, absoluteTime, 0.041530, accumulator, 0.011530, discrete time, 3, input jump, 0
newTime, 0.041530, absoluteTime, 0.041530, accumulator, 0.001530, discrete time, 4, input jump, 0
newTime, 0.058346, absoluteTime, 0.058346, accumulator, 0.018346, discrete time, 4, input jump, 0
newTime, 0.058346, absoluteTime, 0.058346, accumulator, 0.008346, discrete time, 5, input jump, 0
newTime, 0.074901, absoluteTime, 0.074901, accumulator, 0.024901, discrete time, 5, input jump, 0
newTime, 0.074901, absoluteTime, 0.074901, accumulator, 0.014901, discrete time, 6, input jump, 0
newTime, 0.074901, absoluteTime, 0.074901, accumulator, 0.014901, discrete time, 6, input jump, 0
newTime, 0.074901, absoluteTime, 0.074901, accumulator, 0.004901, discrete time, 7, input jump, 0
newTime, 0.091545, absoluteTime, 0.091545, accumulator, 0.021545, discrete time, 7, input jump, 0
newTime, 0.091545, absoluteTime, 0.091545, accumulator, 0.011545, discrete time, 8, input jump, 0
newTime, 0.091545, absoluteTime, 0.091545, accumulator, 0.011545, discrete time, 8, input jump, 0
newTime, 0.091545, absoluteTime, 0.091545, accumulator, 0.001545, discrete time, 9, input jump, 0
newTime, 0.108385, absoluteTime, 0.108385, accumulator, 0.018385, discrete time, 9, input jump, 0
newTime, 0.108385, absoluteTime, 0.108385, accumulator, 0.008385, discrete time, 10, input jump, 0
newTime, 0.124893, absoluteTime, 0.124893, accumulator, 0.024893, discrete time, 10, input jump, 0
newTime, 0.124893, absoluteTime, 0.124893, accumulator, 0.014893, discrete time, 11, input jump, 0
newTime, 0.124893, absoluteTime, 0.124893, accumulator, 0.014893, discrete time, 11, input jump, 0
newTime, 0.124893, absoluteTime, 0.124893, accumulator, 0.004893, discrete time, 12, input jump, 0
