serverEvent, server time, 7.786413, client Time, 0.058086, server step, 0, client step, 1, step time, 0, input jump, 0
serverEvent, server time, 7.819084, client Time, 0.087770, server step, 1, client step, 6, step time, 1, input jump, 0
serverEvent, server time, 7.835896, client Time, 0.087770, server step, 2, client step, 7, step time, 2, input jump, 0
serverEvent, server time, 7.852452, client Time, 0.121431, server step, 3, client step, 10, step time, 3, input jump, 0
serverEvent, server time, 7.869319, client Time, 0.121431, server step, 4, client step, 11, step time, 4, input jump, 0
serverEvent, server time, 7.885963, client Time, 0.154652, server step, 5, client step, 13, step time, 5, input jump, 0
serverEvent, server time, 7.902915, client Time, 0.155652, server step, 6, client step, 14, step time, 6, input jump, 0
serverEvent, server time, 7.919147, client Time, 0.171863, server step, 7, client step, 15, step time, 7, input jump, 0
serverEvent, server time, 7.936062, client Time, 0.187209, server step, 8, client step, 17, step time, 8, input jump, 0
serverEvent, server time, 7.952459, client Time, 0.204323, server step, 9, client step, 19, step time, 9, input jump, 0
serverEvent, server time, 7.969367, client Time, 0.221610, server step, 10, client step, 20, step time, 10, input jump, 0
serverEvent, server time, 7.985838, client Time, 0.254680, server step, 11, client step, 23, step time, 11, input jump, 0
serverEvent, server time, 8.003268, client Time, 0.270025, server step, 12, client step, 25, step time, 12, input jump, 0
serverEvent, server time, 8.019236, client Time, 0.287238, server step, 13, client step, 27, step time, 13, input jump, 0
serverEvent, server time, 8.037446, client Time, 0.303354, server step, 14, client step, 28, step time, 14, input jump, 0
serverEvent, server time, 8.052502, client Time, 0.304354, server step, 15, client step, 29, step time, 15, input jump, 0
serverEvent, server time, 8.069686, client Time, 0.321620, server step, 16, client step, 31, step time, 16, input jump, 0
serverEvent, server time, 8.085790, client Time, 0.353671, server step, 17, client step, 33, step time, 17, input jump, 0
serverEvent, server time, 8.102842, client Time, 0.353671, server step, 18, client step, 34, step time, 18, input jump, 0
serverEvent, server time, 8.119121, client Time, 0.388662, server step, 19, client step, 36, step time, 19, input jump, 0
