clientEvent, server time, 7.786413, client Time, 0.018673,server step, 0, client step, 0, step Time, 0, input jump, 0
clientEvent, server time, 7.819084, client Time, 0.058086,server step, 0, client step, 1, step Time, 1, input jump, 0
clientEvent, server time, 7.835896, client Time, 0.058086,server step, 1, client step, 2, step Time, 2, input jump, 0
clientEvent, server time, 7.852452, client Time, 0.058086,server step, 2, client step, 3, step Time, 3, input jump, 0
clientEvent, server time, 7.869319, client Time, 0.058086,server step, 3, client step, 4, step Time, 4, input jump, 0
clientEvent, server time, 7.885963, client Time, 0.067499,server step, 4, client step, 5, step Time, 5, input jump, 0
clientEvent, server time, 7.902915, client Time, 0.087770,server step, 5, client step, 6, step Time, 6, input jump, 0
clientEvent, server time, 7.919147, client Time, 0.086770,server step, 6, client step, 7, step Time, 7, input jump, 0
clientEvent, server time, 7.936062, client Time, 0.103284,server step, 7, client step, 8, step Time, 8, input jump, 0
clientEvent, server time, 7.952459, client Time, 0.103284,server step, 8, client step, 9, step Time, 9, input jump, 0
clientEvent, server time, 7.969367, client Time, 0.120431,server step, 9, client step, 10, step Time, 10, input jump, 0
clientEvent, server time, 7.985838, client Time, 0.120431,server step, 10, client step, 11, step Time, 11, input jump, 0
clientEvent, server time, 8.003268, client Time, 0.137656,server step, 11, client step, 12, step Time, 12, input jump, 0
clientEvent, server time, 8.019236, client Time, 0.155652,server step, 12, client step, 13, step Time, 13, input jump, 0
clientEvent, server time, 8.037446, client Time, 0.154652,server step, 13, client step, 14, step Time, 14, input jump, 0
clientEvent, server time, 8.052502, client Time, 0.171863,server step, 14, client step, 15, step Time, 15, input jump, 0
clientEvent, server time, 8.069686, client Time, 0.171863,server step, 15, client step, 16, step Time, 16, input jump, 0
clientEvent, server time, 8.085790, client Time, 0.188209,server step, 16, client step, 17, step Time, 17, input jump, 0
clientEvent, server time, 8.102842, client Time, 0.203323,server step, 17, client step, 18, step Time, 18, input jump, 0
clientEvent, server time, 8.119121, client Time, 0.204323,server step, 18, client step, 19, step Time, 19, input jump, 0
clientEvent, server time, 8.136187, client Time, 0.220610,server step, 19, client step, 20, step Time, 20, input jump, 0
clientEvent, server time, 8.152468, client Time, 0.221610,server step, 20, client step, 21, step Time, 21, input jump, 0
clientEvent, server time, 8.169507, client Time, 0.237618,server step, 21, client step, 22, step Time, 22, input jump, 0
clientEvent, server time, 8.185811, client Time, 0.254680,server step, 22, client step, 23, step Time, 23, input jump, 0
clientEvent, server time, 8.203167, client Time, 0.253680,server step, 23, client step, 24, step Time, 24, input jump, 0
clientEvent, server time, 8.219514, client Time, 0.270025,server step, 24, client step, 25, step Time, 25, input jump, 0
clientEvent, server time, 8.236005, client Time, 0.270025,server step, 25, client step, 26, step Time, 26, input jump, 0
clientEvent, server time, 8.252738, client Time, 0.287238,server step, 26, client step, 27, step Time, 27, input jump, 0
clientEvent, server time, 8.269404, client Time, 0.304354,server step, 27, client step, 28, step Time, 28, input jump, 0
clientEvent, server time, 8.286057, client Time, 0.303354,server step, 28, client step, 29, step Time, 29, input jump, 0
clientEvent, server time, 8.302698, client Time, 0.320620,server step, 29, client step, 30, step Time, 30, input jump, 0
clientEvent, server time, 8.320303, client Time, 0.320620,server step, 30, client step, 31, step Time, 31, input jump, 0
clientEvent, server time, 8.336251, client Time, 0.337696,server step, 31, client step, 32, step Time, 32, input jump, 0
clientEvent, server time, 8.352839, client Time, 0.353671,server step, 32, client step, 33, step Time, 33, input jump, 0
clientEvent, server time, 8.369429, client Time, 0.353671,server step, 33, client step, 34, step Time, 34, input jump, 0
clientEvent, server time, 8.386075, client Time, 0.369974,server step, 34, client step, 35, step Time, 35, input jump, 0
clientEvent, server time, 8.402692, client Time, 0.387662,server step, 35, client step, 36, step Time, 36, input jump, 0
clientEvent, server time, 8.419363, client Time, 0.387662,server step, 36, client step, 37, step Time, 37, input jump, 0
clientEvent, server time, 8.436048, client Time, 0.403348,server step, 37, client step, 38, step Time, 38, input jump, 0
clientEvent, server time, 8.452914, client Time, 0.404348,server step, 38, client step, 39, step Time, 39, input jump, 0
clientEvent, server time, 8.469620, client Time, 0.421818,server step, 39, client step, 40, step Time, 40, input jump, 0
clientEvent, server time, 8.486237, client Time, 0.420818,server step, 40, client step, 41, step Time, 41, input jump, 0
clientEvent, server time, 8.502775, client Time, 0.437921,server step, 41, client step, 42, step Time, 42, input jump, 0
clientEvent, server time, 8.519585, client Time, 0.454999,server step, 42, client step, 43, step Time, 43, input jump, 0
clientEvent, server time, 8.536164, client Time, 0.453999,server step, 43, client step, 44, step Time, 44, input jump, 0
clientEvent, server time, 8.552753, client Time, 0.471402,server step, 44, client step, 45, step Time, 45, input jump, 0
clientEvent, server time, 8.569433, client Time, 0.471402,server step, 45, client step, 46, step Time, 46, input jump, 0
clientEvent, server time, 8.586184, client Time, 0.487230,server step, 46, client step, 47, step Time, 47, input jump, 0
clientEvent, server time, 8.602990, client Time, 0.504992,server step, 47, client step, 48, step Time, 48, input jump, 0
clientEvent, server time, 8.619646, client Time, 0.504992,server step, 48, client step, 49, step Time, 49, input jump, 0
clientEvent, server time, 8.636237, client Time, 0.521262,server step, 49, client step, 50, step Time, 50, input jump, 0
clientEvent, server time, 8.652916, client Time, 0.520262,server step, 50, client step, 51, step Time, 51, input jump, 0
clientEvent, server time, 8.669415, client Time, 0.536936,server step, 51, client step, 52, step Time, 52, input jump, 0
clientEvent, server time, 8.686088, client Time, 0.554571,server step, 52, client step, 53, step Time, 53, input jump, 0
clientEvent, server time, 8.702712, client Time, 0.554571,server step, 53, client step, 54, step Time, 54, input jump, 0
clientEvent, server time, 8.719359, client Time, 0.571542,server step, 54, client step, 55, step Time, 55, input jump, 0
clientEvent, server time, 8.736671, client Time, 0.571542,server step, 55, client step, 56, step Time, 56, input jump, 0
clientEvent, server time, 8.753852, client Time, 0.588222,server step, 56, client step, 57, step Time, 57, input jump, 0
clientEvent, server time, 8.769735, client Time, 0.604491,server step, 57, client step, 58, step Time, 58, input jump, 0
clientEvent, server time, 8.786276, client Time, 0.604491,server step, 58, client step, 59, step Time, 59, input jump, 0
clientEvent, server time, 8.802829, client Time, 0.621550,server step, 59, client step, 60, step Time, 60, input jump, 0
clientEvent, server time, 8.819371, client Time, 0.621550,server step, 60, client step, 61, step Time, 61, input jump, 0
clientEvent, server time, 8.835992, client Time, 0.637771,server step, 61, client step, 62, step Time, 62, input jump, 0
clientEvent, server time, 8.852720, client Time, 0.653635,server step, 62, client step, 63, step Time, 63, input jump, 0
clientEvent, server time, 8.869401, client Time, 0.654635,server step, 63, client step, 64, step Time, 64, input jump, 0
clientEvent, server time, 8.886301, client Time, 0.670832,server step, 64, client step, 65, step Time, 65, input jump, 0
clientEvent, server time, 8.902966, client Time, 0.671832,server step, 65, client step, 66, step Time, 66, input jump, 0
clientEvent, server time, 8.919641, client Time, 0.687483,server step, 66, client step, 67, step Time, 67, input jump, 0
clientEvent, server time, 8.936104, client Time, 0.705046,server step, 67, client step, 68, step Time, 68, input jump, 0
clientEvent, server time, 8.952814, client Time, 0.705046,server step, 68, client step, 69, step Time, 69, input jump, 0
clientEvent, server time, 8.969515, client Time, 0.721648,server step, 69, client step, 70, step Time, 70, input jump, 0
clientEvent, server time, 8.986136, client Time, 0.721648,server step, 70, client step, 71, step Time, 71, input jump, 0
clientEvent, server time, 9.002894, client Time, 0.737211,server step, 71, client step, 72, step Time, 72, input jump, 0
clientEvent, server time, 9.019292, client Time, 0.755342,server step, 72, client step, 73, step Time, 73, input jump, 0
clientEvent, server time, 9.036568, client Time, 0.755342,server step, 73, client step, 74, step Time, 74, input jump, 0
clientEvent, server time, 9.052959, client Time, 0.771566,server step, 74, client step, 75, step Time, 75, input jump, 0
clientEvent, server time, 9.069498, client Time, 0.770566,server step, 75, client step, 76, step Time, 76, input jump, 0
clientEvent, server time, 9.086189, client Time, 0.787748,server step, 76, client step, 77, step Time, 77, input jump, 0
clientEvent, server time, 9.102898, client Time, 0.805290,server step, 77, client step, 78, step Time, 78, input jump, 0
clientEvent, server time, 9.119467, client Time, 0.804290,server step, 78, client step, 79, step Time, 79, input jump, 0
clientEvent, server time, 9.136021, client Time, 0.820824,server step, 79, client step, 80, step Time, 80, input jump, 0
clientEvent, server time, 9.152764, client Time, 0.821824,server step, 80, client step, 81, step Time, 81, input jump, 0
clientEvent, server time, 9.169678, client Time, 0.836925,server step, 81, client step, 82, step Time, 82, input jump, 0
clientEvent, server time, 9.187353, client Time, 0.854864,server step, 82, client step, 83, step Time, 83, input jump, 0
clientEvent, server time, 9.202852, client Time, 0.854864,server step, 83, client step, 84, step Time, 84, input jump, 0
clientEvent, server time, 9.219366, client Time, 0.871915,server step, 84, client step, 85, step Time, 85, input jump, 0
clientEvent, server time, 9.236043, client Time, 0.870915,server step, 85, client step, 86, step Time, 86, input jump, 0
clientEvent, server time, 9.252733, client Time, 0.887097,server step, 86, client step, 87, step Time, 87, input jump, 0
clientEvent, server time, 9.269338, client Time, 0.903676,server step, 87, client step, 88, step Time, 88, input jump, 0
clientEvent, server time, 9.286023, client Time, 0.903676,server step, 88, client step, 89, step Time, 89, input jump, 0
clientEvent, server time, 9.303247, client Time, 0.921290,server step, 89, client step, 90, step Time, 90, input jump, 0
clientEvent, server time, 9.319673, client Time, 0.921290,server step, 90, client step, 91, step Time, 91, input jump, 0
clientEvent, server time, 9.336219, client Time, 0.937576,server step, 91, client step, 92, step Time, 92, input jump, 0
clientEvent, server time, 9.352844, client Time, 0.954804,server step, 92, client step, 93, step Time, 93, input jump, 0
clientEvent, server time, 9.369481, client Time, 0.954804,server step, 93, client step, 94, step Time, 94, input jump, 0
clientEvent, server time, 9.386046, client Time, 0.971330,server step, 94, client step, 95, step Time, 95, input jump, 0
clientEvent, server time, 9.402666, client Time, 0.970330,server step, 95, client step, 96, step Time, 96, input jump, 0
clientEvent, server time, 9.419308, client Time, 0.986832,server step, 96, client step, 97, step Time, 97, input jump, 0
clientEvent, server time, 9.436664, client Time, 1.004568,server step, 97, client step, 98, step Time, 98, input jump, 0
clientEvent, server time, 9.452983, client Time, 1.003568,server step, 98, client step, 99, step Time, 99, input jump, 0
clientEvent, server time, 9.469682, client Time, 1.023104,server step, 99, client step, 100, step Time, 100, input jump, 0
clientEvent, server time, 9.486208, client Time, 1.022104,server step, 100, client step, 101, step Time, 101, input jump, 0
